"iteration","term","estimate","std_error"
22,"lag11",2.16672414827472,0.519751011256588
22,"lag12",1.68456387316524,0.509139690743885
23,"lag1",7.92876885170371,0.555232381657294
23,"lag2",2.30797159475986,0.670602409170519
23,"lag3",6.86730174442626,0.71501753784034
23,"lag4",2.43021037913259,0.615109402877731
23,"lag5",1.55545786026823,0.528345859933348
23,"lag6",0.967996933944568,0.527188082525925
23,"lag7",1.0766739758619,0.565377745208011
23,"lag8",0.164981643720784,0.687706670191792
23,"lag9",1.64570693547594,0.732755371144787
23,"lag10",0.439313103808983,0.620300436185838
23,"lag11",0.657622313900791,0.52296576277746
23,"lag12",0.0369263522375572,0.531389395842343
24,"lag1",5.67064551800235,0.590274006214747
24,"lag2",1.98074940480382,0.725630860965714
24,"lag3",2.62757604272066,0.707235790403407
24,"lag4",1.50500523687391,0.623998554337906
24,"lag5",3.04456584172221,0.568066892992014
24,"lag6",7.27022841636697,0.559322505791273
24,"lag7",7.02595799765172,0.604679447925159
24,"lag8",1.73883108113646,0.736881890105219
24,"lag9",2.04281422443805,0.725439113874896
24,"lag10",3.12823335356195,0.628424123489088
24,"lag11",1.0760700143208,0.565305578267421
24,"lag12",1.71196310080473,0.563058985790186
25,"lag1",4.15805499070712,0.52215460160342
25,"lag2",1.9297329110456,0.646909907647373
25,"lag3",2.13521557707076,0.628080326986774
25,"lag4",-0.594666237153663,0.554824599090462
25,"lag5",1.44983957876569,0.509253529786867
25,"lag6",6.88484698973261,0.503698895121699
25,"lag7",5.30345118777605,0.539683460383229
25,"lag8",2.39939712180812,0.662546796182898
25,"lag9",1.72718907011406,0.639760929451252
25,"lag10",2.19863277607768,0.565234589037502
25,"lag11",1.32596404509917,0.512719483222347
25,"lag12",1.08247822223113,0.508741523573507
26,"lag1",5.69801560714545,0.510235358236374
26,"lag2",-0.0151308252556128,0.582308191707854
26,"lag3",0.462670711912783,0.588675974996642
26,"lag4",0.315872120891983,0.53742545617294
26,"lag5",0.643487182038693,0.49059628061905
26,"lag6",0.879823075451536,0.498558970469865
26,"lag7",1.21417367463604,0.5207898241674
26,"lag8",0.703122449407703,0.592570923648771
26,"lag9",-0.470649846002026,0.604300634581803
26,"lag10",0.13392717889366,0.544649561520705
26,"lag11",1.29597067028426,0.491563472509733
26,"lag12",1.6290328118004,0.499315524758394
27,"lag1",7.79496401814639,0.572383132927761
27,"lag2",5.08827799598854,0.692186727158153
27,"lag3",4.32782785398423,0.667126894666741
27,"lag4",-1.43740383858421,0.614725163307941
27,"lag5",2.21457703370512,0.571801934969857
27,"lag6",7.79949656238252,0.539524940455523
27,"lag7",9.98663587569816,0.58615590741536
27,"lag8",2.91503995656796,0.701088702786975
27,"lag9",0.812146785813086,0.677839250044477
27,"lag10",2.38353245144933,0.624932455774846
27,"lag11",1.71883711324734,0.573880474110289
27,"lag12",1.75286169912085,0.544468318025927
28,"lag1",6.16127292862389,0.49054774727323
28,"lag2",0.216301867829934,0.598262581589274
28,"lag3",2.14599378313347,0.637048068083202
28,"lag4",1.02646116311669,0.57489807557871
28,"lag5",1.30565115197773,0.480293021624329
28,"lag6",0.908195223912007,0.46727824157294
28,"lag7",1.39082489365189,0.501007300599347
28,"lag8",1.00026163029358,0.608502260689462
28,"lag9",0.230576713162866,0.650920466855806
28,"lag10",-1.22167914108298,0.576883022010484
28,"lag11",-0.381427209863083,0.481239397441485
28,"lag12",1.13498455993245,0.462794847213201
29,"lag1",6.65356051207188,0.567508811798411
29,"lag2",1.33345151421875,0.717758507527352
29,"lag3",4.14593801028936,0.693427107871819
29,"lag4",0.10555333157354,0.583170634548385
29,"lag5",1.61732128396707,0.549198945219853
29,"lag6",4.36672171940371,0.555102161637834
29,"lag7",2.57060695181185,0.577723529943464
29,"lag8",-0.0604762568006366,0.739769406120285
29,"lag9",0.392294079851851,0.700877670028984
29,"lag10",1.10825121183532,0.588634987913583
29,"lag11",1.54203619525105,0.555921605449647
29,"lag12",2.21448079212187,0.559178003246006
30,"lag1",6.24249612746372,0.535295695163605
30,"lag2",2.11160577379225,0.631463435900591
30,"lag3",4.61925281611609,0.621724179965622
30,"lag4",0.051358588388903,0.57384678632658
30,"lag5",1.3872932487766,0.528475268915061
30,"lag6",5.64415063235477,0.519239271819448
30,"lag7",6.84863547915958,0.550419488341077
30,"lag8",2.22912613160357,0.654822217890431
30,"lag9",1.75042358130547,0.639107959146793
30,"lag10",2.49861015150761,0.585743625294815
